#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Газоснабжение	Несущие стены	Перекрытия
1	ул. Карла Маркса, д. 28, Большой Царын	1985	Нет	2	2	470.72	88.78	Многоквартирный дом	Автономное	Смешанные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
16	мкр. 1-й, д. 1А, Элиста	1989	Не имеется	Нет	108	Не присвоен	1	1	пассажирские - 1, 	9	9	2	3 827.44	2 345.20	2 241.20	900.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	619.20	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
17	мкр. 4-й, д. 3, Элиста	1972	Не имеется	Нет	нет	80	Не присвоен	4	5	1	3 788.98	0.00	1 204.00	1 980.00	0.00	панельный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Панельные	844.00	Плоская	Отсутствует	Железобетонные	Окрашенный	Иной
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение	Несущие стены
18	ул. Ленина, д. 19, Комсомольский	1954	Нет	2	2	210.66	685.00	Многоквартирный дом	Автономное	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение	Несущие стены
19	ул. Ленина, д. 23, Комсомольский	1957	Нет	2	2	222.19	729.00	Многоквартирный дом	Автономное	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение	Несущие стены
20	ул. Аллея Памяти, д. 3, Комсомольский	1964	Нет	1	2	211.56	621.00	Многоквартирный дом	Автономное	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
21	ул. Пушкина, д. 23, Комсомольский	1960	Нет	36.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
22	ул. Советская, д. 7, Малые Дербеты	1978	Нет	536.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
23	ул. Советская, д. 15, Малые Дербеты	1978	Нет	536.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
24	ул. Советская, д. 17, Малые Дербеты	1978	Нет	536.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
25	мкр. 1-й, д. 3, Малые Дербеты	1980	Нет	536.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
26	мкр. 1-й, д. 4, Малые Дербеты	1980	Нет	536.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
27	тер. Микрорайон, д. 71, Приютное	1984	Нет	2	2	556.00	10-505-КА	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
28	ул. Апанасенко, д. 1, Приютное	1988	Нет	2	2	640.00	10-502-КА	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
29	тер. Микрорайон, д. 4А, Приютное	1986	Нет	4	2	270.00	10-503-КА	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
30	тер. Микрорайон, д. 85, Приютное	1981	Нет	1	2	345.00	10-506-КА	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
31	тер. Микрорайон, д. 11, Приютное	1978	Нет	Не присвоен	1	2	309.00	10-501-КА	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
32	ул. Дружбы, д. 24, Приютное	1966	Нет	1	2	341.00	10-507-КА	Многоквартирный дом	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
33	тер. Микрорайон, д. 69, Приютное	1984	Нет	4	2	256.00	10-504-КА	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Холодное водоснабжение	Несущие стены	Перекрытия
34	ул. Комарова, д. 12, Яшкуль	1988	Нет	2	2	311.63	233.62	568.00	Многоквартирный дом	44	Отсутствует	Автономное	Отсутствует	Отсутствует	Каменные, кирпичные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Холодное водоснабжение	Несущие стены	Перекрытия
35	ул. Канукова, д. 30, Яшкуль	1957	Нет	1	1	101.89	71.45	173.30	Многоквартирный дом	16	Отсутствует	Автономное	Отсутствует	Отсутствует	Каменные, кирпичные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
36	ул. В.И.Ленина, д. 244, Элиста	1961	Нет	920.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
37	ул. В.И.Ленина, д. 232а, Элиста	1958	Нет	284.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество лифтов	Количество подъездов	Наибольшее количество этажей	Количество нежилых помещений	Тип дома	Газоснабжение
38	ул. В.И.Ленина, д. 232, Элиста	2018	Нет	136	4	4	9	6	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
39	ул. В.И.Ленина, д. 236, Элиста	1962	Нет	308.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
40	ул. им Поповича, д. 2, Элиста	1962	Да	226.97	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
41	ул. им Поповича, д. 4, Элиста	1962	Да	228.81	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
42	ул. им Поповича, д. 6, Элиста	1962	Да	221.30	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
43	ул. им Поповича, д. 10, Элиста	1960	Нет	1	2	204.64	126.14	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
44	ул. им Поповича, д. 12, Элиста	1962	Нет	1	2	226.65	102.66	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
45	ул. им Поповича, д. 14, Элиста	1960	Нет	1	2	225.58	106.53	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
46	ул. Правды, д. 1 а, Элиста	1962	Нет	2	2	257.30	120.12	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
47	ул. Правды, д. 3, Элиста	1962	Нет	2	2	254.34	123.87	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
48	ул. Правды, д. 5, Элиста	1962	Нет	2	2	251.56	127.95	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
49	ул. Правды, д. 9, Элиста	1962	Нет	2	2	244.08	118.54	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
50	ул. Правды, д. 11, Элиста	1962	Нет	2	2	247.76	112.18	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
51	ул. Правды, д. 12, Элиста	1961	Нет	1	2	214.57	121.84	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
52	ул. Правды, д. 13 а, Элиста	1962	Нет	2	2	246.81	116.55	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
53	ул. Правды, д. 14, Элиста	1961	Нет	1	2	219.52	118.19	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
54	ул. Хомутникова, д. 110, Элиста	1962	Нет	2	2	393.17	индивидуальный	Многоквартирный дом	Иные	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
55	ул. Хомутникова, д. 112, Элиста	1962	Нет	2	2	353.45	индивидуальный	Многоквартирный дом	Иные	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
56	ул. Хомутникова, д. 112 а, Элиста	1962	Нет	2	2	382.22	индивидуальный	Многоквартирный дом	Иные	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
57	ул. Хомутникова, д. 113, Элиста	1962	Нет	2	2	213.08	153.74	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены
58	ул. Хомутникова, д. 113 а, Элиста	1962	Нет	2	2	247.14	123.26	индивидуальный проект	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
59	ул. им Номто Очирова, д. 10, Элиста	1960	Нет	2	2	296.73	индивидуальный	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
60	мкр. 3-й, д. 7, Элиста	1970	Есть	Да	нет	100	Не присвоен	6	5	1	4 497.63	0.00	1 507.30	2 412.00	0.00	кирпичный	Есть	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	1 050.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
61	ул. В.И.Ленина, д. 228, Элиста	1950	Не имеется	Нет	11	C	2	3	3	1 384.19	0.00	98.10	4 310.00	0.00	типовой проект	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Приточная вентиляция	Центральное	Внутренние водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	380.63	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Иной
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Несущие стены	Перекрытия
62	мкр. 1-й, д. 5, Городовиковск	1973	Да	2	2	487.60	493.00	ТП	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
63	ул. Пушкина, д. 39, Кетченеры	1964	Да	373.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
64	ул. Пушкина, д. 17, Кетченеры	1972	Да	170.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
65	ул. Рокчинского, д. 15, Кетченеры	1973	Да	120.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
66	ул. Микрорайон, д. 8, Лагань	1964	Да	426.50	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
67	ул. Микрорайон, д. 44, Лагань	1974	Да	754.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
68	ул. Канукова, д. 49, Лагань	1960	Да	438.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
69	ул. Привокзальная, д. 2, Улан Хол	1948	Нет	429.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
70	ул. Октябрьская, д. 16, Цаган Аман	1980	Да	183.90	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
71	ул. Хомутникова, д. 21, Цаган Аман	1969	Нет	435.95	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
72	ул. Городовикова, д. 74, Цаган Аман	1967	Нет	246.10	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
73	ул. Городовикова, д. 66, Цаган Аман	1967	Да	454.57	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
74	ул. 1 Мая, д. 14, Троицкое	1962	Да	312.53	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
75	мкр. 2-й, д. 23, Малые Дербеты	1985	Нет	3 590.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
76	ул. Микрорайон, д. 3, Лагань	1963	Нет	219.12	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
77	мкр. 1-й, д. 1, Малые Дербеты	1983	Нет	443.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
78	мкр. 1-й, д. 2, Малые Дербеты	1983	Нет	443.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
79	мкр. 1-й, д. 7, Малые Дербеты	1983	Нет	405.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
80	мкр. 1-й, д. 8, Малые Дербеты	1983	Нет	405.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
81	ул. Микрорайон, д. 4, Лагань	1963	Нет	222.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
82	ул. Микрорайон, д. 7, Лагань	1967	Нет	638.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
83	ул. Микрорайон, д. 14, Лагань	1965	Нет	297.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
84	ул. Микрорайон, д. 22, Лагань	1969	Нет	446.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
85	ул. Микрорайон, д. 55, Лагань	1984	Нет	469.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
86	ул. Микрорайон, д. 47, Лагань	1987	Нет	2	4	653.10	464.50	1 395.00	нет	Многоквартирный дом	Центральное	Центральное	Отсутствует	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное	Каменные, кирпичные	469.00	Железобетонные
