#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1	ул. Ленина, д. 68, Черногорск	1951	Есть	Нет	Согласно Постановления Правительства Хакасии №102 от 14.03.2014 года установлены следующие сроки проведения капитального ремонта в МКД и выбраны операторы для внесения средств на капитальный ремонт.	12	Не присвоен	2	2	1	815.00	72.10	887.10	776.00	0.00	1-464	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Печное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Сайдинг	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
2	ул. Советская, д. 65, Черногорск	1955	Есть	Нет	18	Не присвоен	3	2	1	1 319.00	104.80	1 423.80	1 280.00	0.00	1-464	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Сайдинг	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3	ул. Орлова, д. 30, Черногорск	1987	Есть	Нет	Согласно Постановления Правительства Хакасии №102 от 14.03.2014 года установлены следующие сроки проведения капитального ремонта в МКД и выбраны операторы для внесения средств на капитальный ремонт.	8	Не присвоен	1	2	1	1	504.00	403.00	907.00	518.00	0.00	индивидуальной застройки	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	366.30	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
4	ул. Орлова, д. 30-а, Черногорск	1986	Нет	523.30
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
10	ул. Советская, д. 33-а, Черногорск	1930	Нет	572.90
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
11	ул. Советская, д. 45, Черногорск	1930	Нет	2	444.50
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
12	ул. Советская, д. 45-а, Черногорск	1930	Нет	440.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
13	ул. Советская, д. 59, Черногорск	1951	Не имеется	Нет	Согласно Постановления Правительства Хакасии №102 от 14.03.2014 года установлены следующие сроки проведения капитального ремонта в МКД и выбраны операторы для внесения средств на капитальный ремонт.	9	Не присвоен	2	2	1	1	372.60	189.80	562.40	1 015.00	0.00	1-464	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Скатная	Отсутствует	Деревянные	Сайдинг	Иной
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
14	ул. Ленина, д. 24, Черногорск	1930	Нет	2	567.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
15	ул. Ленина, д. 26, Черногорск	1930	Нет	2	573.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
16	ул. Ленина, д. 28, Черногорск	1930	Нет	2	547.30
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
17	ул. Ленина, д. 30-а, Черногорск	1930	Нет	2	435.70
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
18	ул. Ленина, д. 32, Черногорск	1949	Нет	1	526.80
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
19	ул. Ленина, д. 34, Черногорск	1949	Нет	1	207.60
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
20	ул. Ленина, д. 36, Черногорск	1949	Нет	1	509.30
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
21	ул. Ленина, д. 38, Черногорск	1949	Нет	1	206.50
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
22	ул. Ленина, д. 42, Черногорск	1948	Нет	1	218.80
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
23	ул. Ленина, д. 44, Черногорск	1949	Нет	1	515.10
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
24	ул. Ленина, д. 46, Черногорск	1949	Нет	2	819.80
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
25	ул. Чкалова, д. 38, Черногорск	1950	Нет	1	206.90
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
26	ул. Орлова, д. 17, Черногорск	1950	Нет	1	218.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
27	ул. Орлова, д. 19, Черногорск	1950	Нет	1	491.80
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
28	ул. Орлова, д. 21, Черногорск	1950	Нет	1	222.90
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
29	ул. Орлова, д. 23, Черногорск	1950	Нет	1	2	432.80	0.00	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
30	ул. Орлова, д. 25, Черногорск	1950	Нет	1	2	228.10	0.00	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
31	ул. Советская, д. 44, Черногорск	1934	Нет	3	889.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
32	ул. Советская, д. 62, Черногорск	1955	Нет	1	507.20
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
33	ул. Советская, д. 51, Черногорск	1949	Нет	1	2	200.00	0.00	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
34	ул. Советская, д. 52, Черногорск	1950	Нет	1	546.20
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
35	ул. Черногорская, д. 111, Черногорск	1952	Нет	1	2	513.20	0.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
36	ул. Черногорская, д. 113, Черногорск	1952	Нет	1	523.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
37	ул. Черногорская, д. 115, Черногорск	1952	Нет	1	517.10
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
38	ул. Кирова, д. 62, Черногорск	1954	Не имеется	Нет	Согласно Постановления Правительства Хакасии №102 от 14.03.2014 года установлены следующие сроки проведения капитального ремонта в МКД и выбраны операторы для внесения средств на капитальный ремонт	18	Не присвоен	3	2	1	1 292.00	122.30	2 828.00	2 731.00	0.00	1-342	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Квартирное (квартирный котел)	Отсутствует	Центральное	Центральное	Центральное	Смешанные	707.30	Скатная	Отсутствует	Смешанные	Соответствует материалу стен	Иной
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
39	ул. Кирова, д. 58, Черногорск	1954	Нет	1	527.90
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
40	ул. Кирова, д. 60, Черногорск	1954	Нет	1	524.70
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
41	ул. Кирова, д. 62 а, Черногорск	1957	Нет	1	514.50
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
42	ул. Октябрьская, д. 85, Черногорск	1954	Нет	1	2	516.70	0.00	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
43	ул. Октябрьская, д. 73, Черногорск	1953	Нет	1	523.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
44	ул. Октябрьская, д. 77, Черногорск	1953	Нет	2	818.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
45	ул. Октябрьская, д. 79, Черногорск	1953	Нет	1	2	527.30	0.00	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2
46	ул. Заводская, д. 13, Черногорск	1953	Нет	1	407.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Площадь подвала, кв.м
47	ул. Вокзальная, д. 9, Аскиз	1956	Нет	1	2	402.50	Многоквартирный дом	Автономная котельная (крышная, встроенно-пристроенная)	Каменные, кирпичные	0.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
48	ул. Вокзальная, д. 10, Аскиз	1956	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
49	пер. Кирова, д. 2, Аскиз	1954	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
50	ул. Октябрьская, д. 17, Аскиз	1956	Нет	1	2	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
51	ул. Октябрьская, д. 19, Аскиз	1956	Нет	1	2	Многоквартирный дом	Блочные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Несущие стены
52	ул. Октябрьская, д. 1Б, Аскиз	1966	Нет	1	2	331.50	Отсутствует	Автономное	Центральное (открытая система)	Центральное	Центральное	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Площадь подвала, кв.м
53	ул. Октябрьская, д. 5, Аскиз	1954	Нет	2	2	274.00	Многоквартирный дом	Автономная котельная (крышная, встроенно-пристроенная)	Деревянные	0.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Площадь подвала, кв.м
54	ул. Октябрьская, д. 7, Аскиз	1959	Нет	1	2	257.40	Многоквартирный дом	Автономная котельная (крышная, встроенно-пристроенная)	Деревянные	0.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
55	ул. Октябрьская, д. 37, Аскиз	1950	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
56	ул. Октябрьская, д. 35, Аскиз	1952	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
57	пер. Пушкина, д. 2, Аскиз	1951	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены
58	ул. Вокзальная, д. 18, Аскиз	1988	Нет	2	2	280.40	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены
59	ул. Вокзальная, д. 19, Аскиз	1970	Нет	2	2	280.40	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
