#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
26	ул. Октябрьская, д. 3, Ноябрьск	1981	Нет	226.90	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество лифтов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
27	ул. Октябрьская, д. 4, Ноябрьск	1982	Нет	5	1	103.40	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
28	ул. Коротчаева, д. 26, Ноябрьск	1983	Нет	112.80	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
29	ул. Ямальская, д. 10, Новый Уренгой	1987	Да	Не присвоен	2	2	874.00	0.00	674.70	111-115-93	Многоквартирный дом	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
30	п. МК-102, д. 42, Ноябрьск	1981	Нет	40.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
31	ул. Ямальская, д. 39, Новый Уренгой	1982	Да	Не присвоен	2	2	866.90	0.00	667.00	111-115-93	Многоквартирный дом	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
32	п. МК-15, д. 20, Ноябрьск	1989	Нет	1	116.80	721.00	щит	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
33	п. МК-15, д. 29, Ноябрьск	1982	Нет	1	142.50	1 163.00	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
34	п. МК-15, д. 43, Ноябрьск	1976	Нет	47.50	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
35	п. АТХ Геологии, д. 27, Ноябрьск	1979	Нет	184.10	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
36	п. АТХ Геологии, д. 36, Ноябрьск	1979	Нет	1	34.40	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
37	п. АТХ Геологии, д. 42, Ноябрьск	1979	Нет	59.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
38	п. АТХ Геологии, д. 44, Ноябрьск	1979	Нет	45.40	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
39	ул. Журнала Смена, д. 9, Новый Уренгой	1978	Да	1	2	995.40	669.50	111-115-86	Многоквартирный дом	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Деревянные	0.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
40	ул. Южная, д. 52, Новый Уренгой	1986	Не имеется	Нет	отсутствует	16	Не присвоен	2	2	2	893.90	0.00	186.00	1 439.00	0.00	111-115-86	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Деревянные	0.00	Скатная	Отсутствует	Деревянные	Окрашенный	Свайный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
41	п. СУ-952, д. 1, Ноябрьск	1987	Нет	1	494.00	847.00	Специализированный жилищный фонд	1	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
42	ул. Высоцкого, д. 3, Ноябрьск	1990	Есть	Нет	30	Не присвоен	3	5	5	2 125.30	0.00	223.80	2 318.00	0.00	5-этажный многоквартирный дом, серия ТП-94 БАМ-киевского проекта	Не имеется	На счете регионального оператора	Многоквартирный дом	2	Приточно-вытяжная вентиляция	Центральное	Внутренние водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	3	Панельные	543.20	Плоская	На лестничной клетке	Железобетонные	Окрашенный	Свайный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
43	ул. Изыскателей, д. 29, к. б, Ноябрьск	1999	Нет	388.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
44	пр-кт. Мира, д. 82, к. б, Ноябрьск	1986	Нет	7	5	4 920.70	79.80	94-БАМ	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Панельные	1 297.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
45	жилрайон. Коротчаево, ул. 65 лет ВЛКСМ, д. 4, Новый Уренгой	1985	Да	4	1	153.20	0.00	0.00	нет	Многоквартирный дом	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	0.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
46	жилрайон. Коротчаево, ул. Пуровская, д. 3, Новый Уренгой	1982	Не имеется	Да	2	2	1	1	167.10	0.00	0.00	206.60	0.00	отсутствует	Не имеется	Многоквартирный дом	Отсутствует	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	0.00	Скатная	Отсутствует	Деревянные	Окрашенный	Столбчатый
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
47	п. МК-102, д. 45, Ноябрьск	1981	Нет	45.90	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
48	п. МК-102, д. 79, Ноябрьск	1988	Нет	47.40	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
49	п. МК-15, д. 17, Ноябрьск	1986	Нет	Не присвоен	1	1	209.60	0.00	1 022.00	щит	Многоквартирный дом	1	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
50	ул. Октябрьская, д. 9, к. а, Ноябрьск	1982	Нет	1	130.10	щит	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
51	п. МК-87, д. 54, к. а, Ноябрьск	1979	Нет	1	121.90	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
52	п. АТХ Геологии, д. 13, Ноябрьск	1979	Нет	1	1	107.30	0.00	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
53	ул. Школьная, д. 25, Ноябрьск	1988	Нет	2	2	487.10	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Дом признан аварийным
54	ул. Шевченко, д. 96, Ноябрьск	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
55	ул. Ленина, д. 2, Тарко-Сале	1968	Нет	28.50	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
56	ул. Республики, д. 4, Тарко-Сале	1955	Нет	63.50	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома
57	ул. Дружбы, д. 6, к. б, Ноябрьск	1983	Да	2	748.00	93.10	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
58	ул. СМУ-1, д. 20, Надым	1987	Да	2	2	901.90	Многоквартирный дом	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
59	ул. СМУ-1, д. 25, Надым	1987	Нет	2	2	892.40	Многоквартирный дом	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
60	жилрайон. Коротчаево, ул. Рябиновая, д. 60, Новый Уренгой	1988	Да	4	1	194.50	0.00	0.00	отсутствует	Многоквартирный дом	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
61	жилрайон. Коротчаево, ул. Юности, д. 13, Новый Уренгой	1984	Да	4	1	195.50	269.00	Многоквартирный дом	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
62	жилрайон. Коротчаево, ул. Юности, д. 47, Новый Уренгой	1990	Да	2	1	92.10	Многоквартирный дом	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
63	жилрайон. Коротчаево, ул. Снежная, д. 18, Новый Уренгой	1985	Не имеется	Да	2	2	1	1	176.30	0.00	0.00	0.00	отсутствует	Не имеется	Многоквартирный дом	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
64	п. УТАДС, д. 83, Ноябрьск	1989	Не имеется	Нет	Не имеется	27	Не присвоен	3	3	3	1 209.92	0.00	131.50	1 047.00	0.00	кирпичный до 3-х этажей	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	560.50	Скатная	Отсутствует	Железобетонные	Сайдинг	Свайный
