#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
1	ул. 60 лет Октября, д. 2Б, Усть-Камчатск	1992	Нет	2 751.50	Автономное
10	ул. Школьная, д. 17, Мильково	1984	Нет	1 276.70	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
11	ул. Тундровая, д. 7, Мильково	1983	Нет	751.70	1	Автономное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
12	ул. Лазо, д. 63, Мильково	1971	Нет	972.10	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
13	ул. Октябрьская, д. 3, Шаромы	1978	Нет	1 517.60	1	Автономное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
14	ул. Партизанская, д. 46, Мильково	1976	Нет	1 452.90	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
15	ул. Пушкина, д. 4, Мильково	1975	Нет	740.70	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
16	ул. Гагарина, д. 8, Шаромы	1977	Нет	1 072.20	1	Автономное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
17	пер. Торговый, д. 2, Мильково	1979	Нет	1 597.20	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
18	пер. Торговый, д. 4, Мильково	1988	Нет	648.50	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
19	ул. Школьная, д. 3, Мильково	1972	Нет	980.10	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
20	ул. Чубарова, д. 12, Мильково	1978	Нет	1 607.70	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
21	ул. Ленинская, д. 2Б, Мильково	1978	Нет	724.00	1	Автономное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
22	ул. Ленинская, д. 26, Мильково	1978	Нет	480.60	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
23	ул. Победы, д. 4, Мильково	1980	Нет	2 290.40	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
24	ул. Юбилейная, д. 7, Апача	1982	Нет	2	4	918.40	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Блочные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
25	ул. Юбилейная, д. 9, Апача	1982	Нет	2	4	921.50	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Блочные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
26	ул. Юбилейная, д. 11, Апача	1985	Нет	2	4	931.40	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Блочные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
27	ул. Юбилейная, д. 13, Апача	1989	Нет	2	4	978.90	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Блочные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
28	ул. Почтовая, д. 1, Лесной	1975	Не имеется	Нет	24	Не присвоен	2	3	3	1 091.00	0.00	118.00	2 886.00	0.00	жилое	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	24.00	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Блочные	510.70	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
29	ул. Чапаева, д. 14, Лесной	1980	Есть	Нет	56	Не присвоен	4	4	4	3 129.70	0.00	333.20	2 891.00	0.00	жилое	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	74.00	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Блочные	1 071.20	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
30	ул. Советская, д. 22А, Соболево	1969	Нет	209.30	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
31	ул. Набережная, д. 24А, Соболево	1971	Нет	293.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Перекрытия
32	ул. Комсомольская, д. 71, Октябрьский	1984	Нет	4	5	1 833.99	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Перекрытия
33	ул. Пушкинская, д. 21, Октябрьский	1977	Нет	3	4	1 411.00	758.00	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
34	ул. Комсомольская, д. 28, Октябрьский	1976	Нет	4	4	1 440.40	0.00	760.00	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Панельные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
35	ул. Комсомольская, д. 24, Октябрьский	1973	Нет	3	3	936.30	0.00	710.00	жилой дом	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Панельные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
36	ул. 40 лет Октября, д. 1, Елизово	1973	Есть	Нет	64	4	4	4	3 196.30	0.00	301.70	5 550.00	жилой дом	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	889.00	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
37	ул. Беринга, д. 21, Елизово	1965	Не имеется	Нет	Нет	24	Не присвоен	3	3	3	5	976.20	600.00	110.00	2 058.00	0.00	Жилой дом	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	553.30	Плоская	Отсутствует	Железобетонные	Сайдинг	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
38	ул. Беринга, д. 21А, Елизово	1965	Не имеется	Нет	Нет	44	Не присвоен	3	4	4	3	1 801.30	107.90	147.90	1 648.40	0.00	жилой дом	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	550.60	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
39	ул. Виталия Кручины, д. 7, Елизово	1958	Нет	1	2	337.30	0.00	1 138.10	жилой дом	Многоквартирный дом	1	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
40	ул. Виталия Кручины, д. 9, Елизово	1957	Нет	1	2	320.20	94.80	1 368.00	жилой дом	Многоквартирный дом	1	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
41	ул. Виталия Кручины, д. 11, Елизово	1957	Нет	1	2	380.70	0.00	1 170.00	жилой дом	Многоквартирный дом	1	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
42	ул. Виталия Кручины, д. 22, Елизово	1975	Есть	Нет	48	Не присвоен	3	4	4	2 241.80	0.00	215.80	3 039.00	60.00	Литер А	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	2	0.00	Вытяжная вентиляция	Центральное	Внутренние водостоки	Отсутствует	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	758.10	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Сборный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
43	ул. Виталия Кручины, д. 12Б, Елизово	1984	Нет	2 454.20
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
44	ул. Геофизическая, д. 17, Елизово	1981	Есть	Нет	64	4	4	4	3 064.90	0.00	0.00	2 368.00	жилой дом	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	1 082.00	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
45	ул. Завойко, д. 100А, Елизово	1991	Не имеется	Нет	-	24	Не присвоен	2	4	1	1 475.50	0.00	0.00	2 158.00	0.00	блочный	Не имеется	На счете регионального оператора	Многоквартирный дом	2	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	4 069.00	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Сборный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
46	ул. Ленина, д. 26, Елизово	1970	Нет	3 035.39
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
47	ул. Ленина, д. 27, Елизово	1975	Есть	Нет	63	4	4	4	1	3 150.70	72.40	285.60	2 367.00	жилой дом	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	902.00	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Ленточный
