#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
6	ул. Доватора, д. 78, Черкесск	1974	Не имеется	Нет	151	Не присвоен	2	5	9	2 208.00	147.20	3 500.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	1 013.80	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
7	ул. Доватора, д. 80, Черкесск	1973	Нет	4	5	1 816.80	0.00	3 800.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	767.10	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
8	ул. Доватора, д. 82, Черкесск	1980	Нет	4	5	1 712.40	0.00	5 877.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	884.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
9	ул. Кавказская, д. 22А, Черкесск	1960	Нет	4	5	1 586.90	266.80	1 079.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	916.90	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
10	ул. Кавказская, д. 22, Черкесск	1982	Нет	2	3	469.20	72.10	1 000.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Смешанные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
11	ул. Кавказская, д. 26, Черкесск	1963	Нет	2	4	789.70	265.50	1 008.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество лифтов	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
12	ул. Кавказская, д. 40, Черкесск	1971	Нет	1	1	9	1 222.00	194.50	2 400.00	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
13	пл. Кирова, д. 7, Черкесск	1963	Нет	2	4	997.30	217.10	1 485.90	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	491.40	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
14	ул. Космонавтов, д. 11, Черкесск	1982	Нет	4	5	1 621.40	0.00	6 342.00	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	823.60	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
15	ул. Комсомольская, д. 14, Черкесск	1987	Нет	2 014.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
16	ул. Космонавтов, д. 60, Черкесск	1989	Есть	Нет	103	7	5	1	3 543.60	0.00	6 841.00	120.00	жилой дом	Не имеется	На счете регионального оператора	Многоквартирный дом	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Панельные	1 599.00	Скатная	Отсутствует	Железобетонные	Окрашенный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество лифтов	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
17	ул. Комсомольская, д. 27, Черкесск	1970	Нет	1	1	9	1 270.20	100.00	800.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	96.20	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
18	ул. Красноармейская, д. 66А, Черкесск	1999	Нет	2 261.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
19	ул. Красноармейская, д. 124, Черкесск	1961	Нет	525.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
20	ул. Крайняя, д. 33, Черкесск	1959	Не имеется	Нет	8	Не присвоен	1	2	1	247.00	0.00	20.00	200.00	20.00	бут	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Отсутствует	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
21	ул. Крайняя, д. 35, Черкесск	1959	Не имеется	Нет	8	Не присвоен	1	2	2	257.30	0.00	429.00	1 132.00	50.00	блочный	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Отсутствует	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Оштукатуренный	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
22	ул. Крайняя, д. 37, Черкесск	1959	Не имеется	Нет	8	Не присвоен	1	2	1	247.70	247.70	0.00	300.00	50.00	бут	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Отсутствует	Центральное	Отсутствует	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Оштукатуренный	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
23	ул. Крайняя, д. 39, Черкесск	1959	Не имеется	Нет	8	Не присвоен	1	2	1	257.00	0.00	0.00	1 125.00	50.00	бут	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Отсутствует	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Оштукатуренный	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
24	ул. Крайняя, д. 39А, Черкесск	1968	Не имеется	Нет	36	Не присвоен	2	3	1	918.50	0.00	0.00	1 400.00	200.00	кирпич	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	283.60	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
25	ул. Крайняя, д. 84А, Черкесск	1983	Не имеется	Нет	213	Не присвоен	3	5	1	3 570.00	0.00	0.00	6 008.00	1 200.00	кирпич	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Внутренние водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	1 517.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Площадь подвала, кв.м
26	ул. Крупской, д. 73, Черкесск	1970	Нет	5	5	1 463.80	0.00	1 700.00	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	0.00
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
27	ул. Коста Хетагурова, д. 5А, Черкесск	1978	Не имеется	Нет	47	Не присвоен	5	2	1	1 404.40	0.00	0.00	2 300.00	150.00	кирпич	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Отсутствует	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	40.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
28	ул. Коста Хетагурова, д. 29, Черкесск	1982	Есть	Нет	104	Не присвоен	7	5	1	3 203.60	0.00	0.00	2 358.00	200.00	жилой дом	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	12 506.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
29	пр-кт. Ленина, д. 61, Черкесск	1976	Нет	4	5	2 135.20	0.00	3 512.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	854.30	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
30	пр-кт. Ленина, д. 81А, Черкесск	1996	Нет	4	5	1 690.00	0.00	5 797.00	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	835.30	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
31	пр-кт. Ленина, д. 81, Черкесск	1978	Нет	6	5	2 974.80	55.30	8 100.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	1 401.20	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Перекрытия
32	ул. Лободина, д. 82, Черкесск	1983	Есть	Нет	Не присвоен	6	5	5	2 400.40	3 008.00	4 737.00	Проект типовой	Не имеется	Многоквартирный дом	2	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	6	Каменные, кирпичные	1 203.40	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
33	ул. Магазинная, д. 26, Черкесск	1980	Нет	6	5	2 611.20	III-121-I	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Панельные	1 112.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество лифтов	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Перекрытия
34	ул. Международная, д. 85, Черкесск	1979	Нет	4	4	9	4 209.50	1 142.80	4 559.00	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	4	Каменные, кирпичные	549.70	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество лифтов	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Перекрытия
